x,y,z,f
7.546634217134582379e-01,-3.162780095357276000e-01,0.000000000000000000e+00,7.546634217134582379e-01
6.446629484534125432e-01,1.805828542913386070e-01,0.000000000000000000e+00,6.446629484534125432e-01
4.049110005903606146e-01,-3.746177165550838017e-01,0.000000000000000000e+00,4.049110005903606146e-01
-5.712094123751596531e-01,6.851037057677951125e-01,0.000000000000000000e+00,-5.712094123751596531e-01
1.748933975636490779e+00,-1.250658800927053338e-01,0.000000000000000000e+00,1.748933975636490779e+00
-8.299270928294882887e-04,-6.299917250546493985e-01,0.000000000000000000e+00,-8.299270928294882887e-04
1.059720697843454795e+00,3.539211595909454444e-01,0.000000000000000000e+00,1.059720697843454795e+00
-5.666049625304117043e-01,-1.935959707198012247e-01,0.000000000000000000e+00,-5.666049625304117043e-01
-1.577756614042243599e-01,9.231723690223311296e-01,0.000000000000000000e+00,-1.577756614042243599e-01
-1.985730685548027508e-01,7.502827228601320897e-01,0.000000000000000000e+00,-1.985730685548027508e-01
-7.738633258755011068e-01,3.784457856102675377e-01,0.000000000000000000e+00,-7.738633258755011068e-01
7.646974934427517301e-01,3.240206985401156148e-01,0.000000000000000000e+00,7.646974934427517301e-01
6.020734527556034776e-02,-4.969897356064773009e-01,0.000000000000000000e+00,6.020734527556034776e-02
1.952879212695378897e+00,-7.793300946398498685e-02,0.000000000000000000e+00,1.952879212695378897e+00
-1.122417655857764623e-01,7.290799025662568766e-01,0.000000000000000000e+00,-1.122417655857764623e-01
1.165965323058144820e+00,-5.844212348401378598e-01,0.000000000000000000e+00,1.165965323058144820e+00
1.490287683015581566e+00,6.721001273393905073e-01,0.000000000000000000e+00,1.490287683015581566e+00
-9.330220219470775067e-01,-3.260579347077625922e-02,0.000000000000000000e+00,-9.330220219470775067e-01
4.082534369067354896e-01,-8.553651058056436218e-01,0.000000000000000000e+00,4.082534369067354896e-01
-6.561163731275343469e-01,6.808099753693087619e-01,0.000000000000000000e+00,-6.561163731275343469e-01
-9.196419816353524901e-01,3.141173648665639140e-02,0.000000000000000000e+00,-9.196419816353524901e-01
2.027459610318299355e+00,2.962898755472577125e-03,0.000000000000000000e+00,2.027459610318299355e+00
8.754327992410901871e-01,2.555371217015313667e-01,0.000000000000000000e+00,8.754327992410901871e-01
7.448846339215704493e-01,2.725202380623818477e-01,0.000000000000000000e+00,7.448846339215704493e-01
