x,y,z,f
2.979033782553250465e+00,-7.862056884723375161e-01,8.003650307072014414e-01,2.979033782553250465e+00
1.245726397056205581e+00,2.719363346641200607e+00,-5.964321516627335172e-04,1.245726397056205581e+00
-2.470099482316387984e+00,-1.911017573737247566e-01,8.670941757488377366e-01,-2.470099482316387984e+00
2.125444340901147200e+00,1.331572783387190650e+00,-8.535393950891698722e-01,2.125444340901147200e+00
2.479120917430298388e+00,1.919756474116718792e+00,-7.685799904733627841e-01,2.479120917430298388e+00
2.785267006643860732e+00,-6.025324120471325928e-03,6.125913828408865447e-01,2.785267006643860732e+00
-1.193600509741187699e+00,1.583517502850017467e+00,9.991012003708199529e-01,-1.193600509741187699e+00
5.210293141387292160e+00,-1.295368518352940868e+00,-8.737091294089298632e-01,5.210293141387292160e+00
1.506019345667415132e+00,-1.576893049299997185e-01,8.726914423029923373e-01,1.506019345667415132e+00
4.671707591430706685e+00,2.357590853931563757e+00,3.133453179574673120e-02,4.671707591430706685e+00
-2.684769757944797774e+00,1.306345767404865077e+00,2.031796355090868117e-02,-2.684769757944797774e+00
5.659858483678440244e+00,-1.507445213616314561e+00,-2.605217586265782259e-01,5.659858483678440244e+00
-2.700199206292817067e+00,-4.334061857398840978e-01,-6.635096894092157305e-01,-2.700199206292817067e+00
5.947719783533443660e+00,-6.837051671593731283e-01,5.079415571919216887e-01,5.947719783533443660e+00
3.633218269020895619e+00,-2.552470663995221933e+00,2.776457077458778233e-01,3.633218269020895619e+00
4.775012838055934239e+00,-2.266348462451063028e+00,-2.471628776769746461e-01,4.775012838055934239e+00
1.063500380927236089e+00,-2.436410785580612193e-01,2.619745527799385298e-01,1.063500380927236089e+00
2.213143313357816222e+00,-1.627128601926301599e+00,-6.471711459593926241e-01,2.213143313357816222e+00
1.426074081867636290e+00,1.379357882374241395e+00,9.987189682362014320e-01,1.426074081867636290e+00
1.576159135447522397e+00,-2.244824488847589006e+00,-6.567763229904288735e-01,1.576159135447522397e+00
1.432431305709328306e+00,1.404629160794389486e+00,-1.399526962501892180e-01,1.432431305709328306e+00
2.990401632717178959e+00,1.712502451446453078e+00,9.718623663793182210e-01,2.990401632717178959e+00
1.846757997950457586e+00,-1.253272559530703933e+00,-8.272214155931864044e-01,1.846757997950457586e+00
1.323768069846024353e+00,2.659097734717580153e+00,1.675155518059795456e-01,1.323768069846024353e+00
1.966507538643553765e+00,-1.680871220447569536e+00,7.958448820031341908e-01,1.966507538643553765e+00
-2.089612200063420966e-01,1.567270265090622505e+00,-9.081299380700316171e-01,-2.089612200063420966e-01
2.399553825430954745e+00,-1.474249468994373480e+00,-5.637264218902188206e-01,2.399553825430954745e+00
2.556759077719982010e+00,-1.067400433352878597e+00,6.287967000156177155e-01,2.556759077719982010e+00
3.438217920979877107e+00,-7.054096121165267519e-01,-4.750495914514482054e-01,3.438217920979877107e+00
1.153994416083617081e+00,2.293884602795276395e-02,5.241485289223638544e-01,1.153994416083617081e+00
1.325736295035451873e+00,1.224678953036351325e+00,4.539109249697637766e-02,1.325736295035451873e+00
-6.494860420287178471e-01,-2.822118394181824197e+00,4.215329038363916370e-01,-6.494860420287178471e-01
2.119129133740456528e+00,1.181832451159425812e+00,9.478565540349724872e-01,2.119129133740456528e+00
-1.509386823435599156e+00,3.329984548665325672e-01,-8.871037943190669406e-01,-1.509386823435599156e+00
4.894690324779688240e+00,1.254901763621041555e+00,9.775957219548540023e-01,4.894690324779688240e+00
3.926570689378420909e+00,-1.823129606513404832e+00,-9.625226907039989843e-01,3.926570689378420909e+00
1.583968640292376273e+00,1.565622716097356593e+00,2.504895211944598299e-01,1.583968640292376273e+00
1.731645550649376863e+00,6.670100510773233626e-01,-9.861776217609877770e-01,1.731645550649376863e+00
1.137226412073514714e+00,-8.420140192280842761e-01,-8.114978338396343638e-01,1.137226412073514714e+00
-1.536422104851211667e+00,-2.482193091051501099e+00,3.708810214988337295e-01,-1.536422104851211667e+00
-3.265000691485268058e-01,-2.937476948371508190e+00,2.318498536927835196e-01,-3.265000691485268058e-01
1.754898767678907179e+00,-1.197078451176411651e+00,7.932534366729758757e-01,1.754898767678907179e+00
1.047119091974147764e+00,-2.266270626821589751e+00,-8.588528169019705727e-01,1.047119091974147764e+00
5.586206619550376784e-01,-1.454360955379757625e+00,8.939991565895902825e-01,5.586206619550376784e-01
7.744568900798336486e-01,2.271573370515383772e+00,-9.091829405627955829e-01,7.744568900798336486e-01
7.185972618919039823e-01,-1.895561364780954383e+00,-9.968164530866752138e-01,7.185972618919039823e-01
