x,y,z,f
2.159693603731729916e-01,-7.608228551873750245e-01,-6.095204296869486393e-01,2.159693603731729916e-01
-7.145223157312108331e-02,-9.661580782430888581e-01,2.304383633350382543e-01,-7.145223157312108331e-02
-4.125368114570419076e-01,-2.801894263206253788e-01,8.630732115120370862e-01,-4.125368114570419076e-01
6.775058782481646613e-01,-7.258865917396396528e-01,-8.253048452966091353e-02,6.775058782481646613e-01
-1.831969826466063322e-01,8.749554405401988033e-01,4.391196557921930865e-01,-1.831969826466063322e-01
4.408970021960579300e-01,8.383882925684768006e-01,3.103300109745896762e-01,4.408970021960579300e-01
4.205493453560373851e-01,3.527468917837605633e-01,-8.333128667361110464e-01,4.205493453560373851e-01
8.615549466621765795e-01,2.699417496601714261e-01,-4.281200101468490282e-01,8.615549466621765795e-01
7.097774994843981666e-01,3.553885842295025910e-01,-6.026092098301336630e-01,7.097774994843981666e-01
-8.455043927550315308e-01,-1.873414157552726333e-01,4.933484461315076341e-01,-8.455043927550315308e-01
-4.655879048498328121e-01,6.731035262690736598e-01,5.689123736262837738e-01,-4.655879048498328121e-01
2.738918602235073663e-01,9.368517324735670115e-01,-2.006279938754307879e-01,2.738918602235073663e-01
-1.817925260302067914e-01,-8.757064805060658097e-01,-4.381219512669636273e-01,-1.817925260302067914e-01
-2.700935990392757668e-01,-6.591856473048418597e-01,-6.992230094660274453e-01,-2.700935990392757668e-01
-9.651690146246327817e-01,-7.298251882321629691e-02,2.403399709628024905e-01,-9.651690146246327817e-01
-4.659595444351247173e-01,8.694787414809572734e-01,1.517219062929931472e-01,-4.659595444351247173e-01
-1.773776781736642050e-01,-9.175046331197336258e-01,3.443797669382860915e-01,-1.773776781736642050e-01
-2.353544239185790254e-01,-5.229706077985041279e-01,8.153486929725514143e-01,-2.353544239185790254e-01
-2.876557448910278536e-01,8.324564965083974810e-01,-4.680847719112927741e-01,-2.876557448910278536e-01
-4.860909644786836625e-01,-4.220225870238629717e-01,-7.617845212380436326e-01,-4.860909644786836625e-01
-2.920717916065017350e-02,9.956453689214589398e-01,-4.690256291781128017e-02,-2.920717916065017350e-02
-5.494196731928022714e-01,-8.180141027152308952e-01,1.480847023157407794e-01,-5.494196731928022714e-01
7.009083310844927972e-01,3.559296910103404987e-01,6.133618495757205968e-01,7.009083310844927972e-01
3.224288701906066756e-01,-7.434013947502343678e-01,5.802029880835315456e-01,3.224288701906066756e-01
4.377966447130120509e-01,2.002279973577626160e-01,8.724929841741130288e-01,4.377966447130120509e-01
8.591286648769894674e-01,-4.718890536215581966e-01,-1.810270761630066727e-01,8.591286648769894674e-01
-1.856754486078620869e-01,-9.708907073833129564e-01,1.372668223230738282e-01,-1.856754486078620869e-01
8.938158035671525115e-01,-4.383895858779711663e-01,-6.473016821745697369e-04,8.938158035671525115e-01
8.937298688579748962e-01,3.227739310046698895e-01,-3.006196469101408142e-01,8.937298688579748962e-01
1.961763205199870685e-02,6.606130922169887176e-01,-7.464493636834776957e-01,1.961763205199870685e-02
4.968980442807690578e-01,1.766885978819885961e-01,-8.469570738982449276e-01,4.968980442807690578e-01
1.840876023923025406e-01,-1.447079950761229750e-01,9.685000860812236212e-01,1.840876023923025406e-01
-6.426020265992983260e-01,-4.071510463129320301e-01,6.437437813635350503e-01,-6.426020265992983260e-01
-8.057926205773646711e-01,3.644402882900511509e-01,-4.600724486900015786e-01,-8.057926205773646711e-01
9.274140169034973402e-01,1.330776260660054833e-01,-3.471836236858441560e-01,9.274140169034973402e-01
5.771726456952440687e-01,2.417101764463433222e-01,-7.770546765632978525e-01,5.771726456952440687e-01
-5.615867884050654846e-01,4.504393176487192507e-01,-6.883030615696292820e-01,-5.615867884050654846e-01
3.884486250894422787e-01,8.946311189387257112e-01,-2.041253894556390169e-01,3.884486250894422787e-01
-6.165814968203283675e-01,-7.830618633045922650e-01,6.054713221063713624e-02,-6.165814968203283675e-01
5.153455187224929013e-01,-7.133908435775334622e-01,-4.666233128228353122e-01,5.153455187224929013e-01
-8.508048444637759111e-01,4.389604031058204070e-01,2.774489753519984170e-01,-8.508048444637759111e-01
4.719731036711131145e-01,8.256457985163085933e-01,3.006655644412656869e-01,4.719731036711131145e-01
-5.500569168174229695e-01,-5.709321842839782946e-01,6.032183436925497855e-01,-5.500569168174229695e-01
7.002168595370223958e-01,6.854771991708767942e-01,1.881705487759140483e-01,7.002168595370223958e-01
-2.068151290907142489e-02,7.422752828874988884e-01,6.649131222470774372e-01,-2.068151290907142489e-02
-3.152621866408487905e-02,-1.586240547204268991e-01,9.844846630862811310e-01,-3.152621866408487905e-02
7.823575738276329350e-01,2.074407995848925879e-01,-5.850438636608481513e-01,7.823575738276329350e-01
-3.332374243748805198e-01,-1.562577159690047846e-01,-9.253949650801509552e-01,-3.332374243748805198e-01
5.732075764546599173e-01,-8.041233147157790251e-01,-1.339931433324433596e-01,5.732075764546599173e-01
-4.800467000495868830e-01,-3.323227538911426304e-01,8.092874755023871103e-01,-4.800467000495868830e-01
-9.529439455854716856e-01,-1.879708313556915922e-01,2.235627842180226976e-01,-9.529439455854716856e-01
-3.860911255956672172e-01,9.206738702436025878e-01,1.114369390342459867e-02,-3.860911255956672172e-01
-4.945639568253528129e-01,-2.783958382165718781e-01,-8.203970259897368500e-01,-4.945639568253528129e-01
-8.745078073761157755e-01,1.135764648098276514e-01,-4.675024315899580785e-01,-8.745078073761157755e-01
-3.847062098807197406e-01,-8.835794799666802923e-01,-2.570579709847187200e-01,-3.847062098807197406e-01
6.811740646593612558e-01,-5.447752112360724208e-01,-4.823285512830554622e-01,6.811740646593612558e-01
2.985173058189313777e-01,-2.697737867460398009e-02,-9.509822331546368135e-01,2.985173058189313777e-01
7.748313537464573963e-01,5.374680315026429955e-01,3.238478957592093588e-01,7.748313537464573963e-01
2.710838683186725939e-01,9.527582665786981098e-01,1.109882081035458712e-01,2.710838683186725939e-01
8.147988780188151203e-01,2.136690275593116917e-01,-5.337873157378866251e-01,8.147988780188151203e-01
-7.139254889554877415e-02,-5.795982239652255341e-01,-8.084038426234421149e-01,-7.139254889554877415e-02
9.161970698218071529e-01,-2.139413365797532551e-01,3.303613152008498255e-01,9.161970698218071529e-01
2.608485990077477057e-01,1.589336307027197984e-02,-9.638090143078689165e-01,2.608485990077477057e-01
-1.049769885993378643e-01,-8.593033090710944233e-01,-4.930239964336381453e-01,-1.049769885993378643e-01
-1.453690583368139333e-01,-3.740555453606721481e-01,9.140684061503540070e-01,-1.453690583368139333e-01
8.745361231501945776e-01,-1.713739746848865209e-01,-4.467732890468489870e-01,8.745361231501945776e-01
