x,y,z,f
2.896414162610168930e+00,-7.333371146299882959e-01,-1.001979027855909483e-02,2.896414162610168930e+00
-2.773193267621983440e-02,1.416280937322689892e+00,-8.106100315488862229e-01,-2.773193267621983440e-02
1.939362907293464389e+00,9.053488543768748453e-01,-9.854740339619599832e-01,1.939362907293464389e+00
-1.792656105940981348e+00,-1.751349664123107441e+00,8.564328736554541743e-01,-1.792656105940981348e+00
2.413554085057484089e-01,-2.965984916539924576e+00,1.040055296131338763e-01,2.413554085057484089e-01
-1.854048998961991046e+00,2.792690809250541473e-01,9.883341465944481818e-01,-1.854048998961991046e+00
2.946409662957874875e+00,-4.904680130253586401e-01,-5.364381009271992906e-02,2.946409662957874875e+00
2.034379183728315166e+00,-1.206290392677584755e+00,-9.264419685033459251e-01,2.034379183728315166e+00
2.061764786166773167e+00,1.881029234444149489e+00,-5.932294098818371442e-01,2.061764786166773167e+00
-2.691316880441069426e+00,-1.232383540999425264e+00,2.347106402126484803e-01,-2.691316880441069426e+00
1.738513296215417725e+00,-2.009951620054332366e+00,-7.379953136686627779e-01,1.738513296215417725e+00
1.275938500813057264e+00,1.011637520750515495e+00,-9.295372245333732852e-01,1.275938500813057264e+00
-5.953503453844596338e-01,2.837426784606928543e+00,-4.235360476615706027e-01,-5.953503453844596338e-01
8.740793539754538877e-01,-2.819995871006302224e+00,2.419038425334741060e-01,8.740793539754538877e-01
2.124099526102761537e+00,-1.071819915058962014e+00,-9.199421843730073434e-01,2.124099526102761537e+00
-9.381043843154237560e-01,4.844548697557221617e-01,-3.322206598573871905e-01,-9.381043843154237560e-01
2.220406458117639037e+00,-3.665392511196160497e-01,-9.621546063980699337e-01,2.220406458117639037e+00
4.735499199742358722e-02,-2.154474332024780114e+00,9.843262364791208752e-01,4.735499199742358722e-02
-1.417714088327427513e+00,3.124971394413585957e-01,-8.367903592080394581e-01,-1.417714088327427513e+00
-7.413603787722093941e-01,6.653921417417337780e-01,-1.520334489396662982e-04,-7.413603787722093941e-01
-2.540364370410418182e+00,-1.817556569112942499e-01,-8.292574667883891859e-01,-2.540364370410418182e+00
-2.736294848964925475e+00,2.302182720528604398e-01,-6.439120342881193837e-01,-2.736294848964925475e+00
-1.205942818460278287e+00,-1.201390286479961045e+00,9.497374261994756539e-01,-1.205942818460278287e+00
1.850280669765199226e+00,-2.328655200118246338e+00,-1.190989381202669367e-01,1.850280669765199226e+00
-1.659595065813812553e+00,1.107534625555751662e+00,-9.995398913982840305e-01,-1.659595065813812553e+00
-1.746627009214653192e+00,-3.741991293917181216e-01,-9.758544694574379230e-01,-1.746627009214653192e+00
2.065937380777831400e+00,-1.911718631335454166e+00,-5.654421485489179444e-01,2.065937380777831400e+00
-2.615787154965687922e+00,4.137017459161798083e-01,7.486114298250174937e-01,-2.615787154965687922e+00
1.007358623574980516e+00,1.616013681836236060e+00,-9.910624948021043989e-01,1.007358623574980516e+00
-2.718233349489291850e+00,1.242966096487182037e+00,2.403891568150472863e-02,-2.718233349489291850e+00
-1.030689318126034815e+00,-1.359642478843006597e+00,9.529440425670645531e-01,-1.030689318126034815e+00
