resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.386858,0.370012,0.345122,0.325651,0.297142,0.274103,0.250344
6,inf,inf,inf,inf,inf,inf,inf
7,0.54199,0.525498,0.507777,0.490982,0.470341,0.449889,0.416048
8,0.603109,0.585311,0.567339,0.549314,0.53602,0.510546,0.488813
9,0.719412,0.705327,0.690431,0.670474,0.651996,0.627279,0.604855
10,inf,0.671893,0.662719,0.653681,0.638255,0.617541,0.59297
11,0.715943,0.704571,0.695693,0.684098,0.6679,0.659846,0.639019
12,inf,inf,0.754392,0.744627,0.730369,0.718947,0.699098
13,inf,inf,inf,inf,0.720952,0.707695,0.691998
14,inf,inf,inf,inf,inf,inf,0.715584
