resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
6,0.143088,0.136717,0.115342,0.0982845,0.067198,0.0434505,0.00824642
7,0.206911,0.195988,0.178853,0.163997,0.145163,0.136717,0.108997
8,0.253163,0.246578,0.233233,0.222238,0.206911,0.185229,0.163997
9,0.278638,0.274493,0.266072,0.253163,0.246578,0.233233,0.213433
10,inf,0.292625,0.286622,0.278638,0.270315,0.263911,0.248774
11,0.33694,0.316457,0.308585,0.304547,0.292625,0.280664,0.270315
12,0.366943,0.350475,0.343661,0.322309,0.314506,0.304547,0.292625
13,0.389963,0.37714,0.37714,0.354987,0.343661,0.320342,0.308585
14,0.400108,0.392592,0.389963,0.379641,0.37714,0.350475,0.339148
15,inf,inf,inf,0.392592,0.389963,0.37714,0.362067
