resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
6,inf,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf,inf
8,0.479449,0.482933,0.225865,0.202459,0.190018,inf,inf
9,0.304791,0.293523,0.26999,0.254566,0.243752,0.229554,0.217705
10,inf,inf,inf,0.304791,0.293523,0.263422,0.245869
11,0.362773,0.356081,0.342916,0.334091,0.320901,0.304791,0.293523
12,inf,0.445933,0.444447,0.440913,0.342916,0.334091,0.262703
13,inf,inf,0.386671,0.380508,0.371639,0.316468,0.301901
14,inf,0.435345,0.427107,0.427618,0.30879,0.301,0.293045
15,1.29265,1.28504,1.29049,1.28482,1.27792,inf,0.327102
